track_id,track_name,artists,genre,release_year,release_date,explicit,popularity,duration_ms,playlist_name,danceability,loudness,speechiness,playlist_type
5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,singer-songwriter pop,2023,2023-09-01,False,97,172964,Top 50 - United Kingdom,0.628,-8.307,,mixed_pop
56y1jOTK0XSvJzVv9vHQBK,Paint The Town Red,Doja Cat,dance pop,2023,2023-09-20,True,87,230480,Top 50 - United Kingdom,0.864,-7.683,0.194,mixed_pop
1reEeZH9wNt4z1ePYLyC7p,greedy,Tate McRae,alt z,2023,2023-09-13,True,31,131872,Top 50 - United Kingdom,0.75,-3.19,0.0322,mixed_pop
59NraMJsLaMCVtwXTSia8i,Prada,cassö,***OOPS!***,2023,2023-08-11,True,94,132359,Top 50 - United Kingdom,0.638,-5.804,0.0375,mixed_pop
5aIVCx5tnk0ntmdiinnYvw,Water,Tyla,***OOPS!***,2023,2023-07-28,False,91,200255,Top 50 - United Kingdom,0.673,-3.495,0.0755,mixed_pop
2FDTHlrBguDzQkp7PVj16Q,Sprinter,Dave,uk hip hop,2023,2023-06-01,True,94,229133,Top 50 - United Kingdom,0.916,-8.067,0.241,mixed_pop
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,pop,2019,2019-08-23,False,99,178426,Top 50 - United Kingdom,0.552,-5.707,0.157,mixed_pop
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,brooklyn indie,2023,2023-09-15,False,93,137773,Top 50 - United Kingdom,0.504,-14.958,0.0321,mixed_pop
1kuGVB7EU95pJObxwvfwKS,vampire,Olivia Rodrigo,pop,2023,2023-09-08,True,95,219724,Top 50 - United Kingdom,0.511,-5.745,0.0578,mixed_pop
2ZWmmrWUgDBcPSLihBMvhg,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,dancefloor dnb,2023,2023-07-27,False,81,177291,Top 50 - United Kingdom,0.62,-0.504,0.252,mixed_pop
